Longitude,Latitude,zone,LocationID,borough
-73.94847421,40.60655799,Madison,149,Brooklyn
-73.94288426,40.58026232,Manhattan Beach,150,Brooklyn
-73.96780839,40.79786627,Manhattan Valley,151,Manhattan
-73.95432487,40.8175772,Manhattanville,152,Manhattan
-73.91106258,40.87560041,Marble Hill,153,Manhattan
-73.89612331,40.59311867,Marine Park/Floyd Bennett Field,154,Brooklyn
-73.90676934,40.61778854,Marine Park/Mill Basin,155,Brooklyn
-74.1648593,40.62874838,Mariners Harbor,156,Staten Island
-73.90192569,40.72403936,Maspeth,157,Queens
-74.00838576,40.73524807,Meatpacking/West Village West,158,Manhattan
-73.91358299,40.81825946,Melrose South,159,Bronx
-73.88071225,40.71850382,Middle Village,160,Queens
-73.97743184,40.75822648,Midtown Center,161,Manhattan
-73.97214549,40.75681616,Midtown East,162,Manhattan
-73.97836699,40.76442545,Midtown North,163,Manhattan
-73.98592881,40.74880767,Midtown South,164,Manhattan
-73.95460295,40.6209587,Midwood,165,Brooklyn
-73.96181526,40.80957023,Morningside Heights,166,Manhattan
-73.90444259,40.82798804,Morrisania/Melrose,167,Bronx
-73.91705803,40.80743953,Mott Haven/Port Morris,168,Bronx
-73.90502146,40.84911482,Mount Hope,169,Bronx
-73.97694199,40.74765428,Murray Hill,170,Manhattan
-73.80888072,40.76894367,Murray Hill-Queens,171,Queens
-74.1039265,40.57246542,New Dorp/Midland Beach,172,Staten Island
-73.8630837,40.75177924,North Corona,173,Queens
-73.87776056,40.87685259,Norwood,174,Bronx
-73.75735677,40.74327385,Oakland Gardens,175,Queens
-74.11961243,40.56206061,Oakwood,176,Staten Island
-73.91110579,40.67709861,Ocean Hill,177,Brooklyn
-73.97068878,40.61763318,Ocean Parkway South,178,Brooklyn
-73.92681236,40.77142534,Old Astoria,179,Queens
-73.84936435,40.67516385,Ozone Park,180,Queens
-73.9790449,40.67201914,Park Slope,181,Brooklyn
-73.85794162,40.83740436,Parkchester,182,Bronx
-73.83185405,40.84956865,Pelham Bay,183,Bronx
-73.80461084,40.86478542,Pelham Bay Park,184,Bronx
-73.85518043,40.85347166,Pelham Parkway,185,Bronx
-73.99245533,40.74847636,Penn Station/Madison Sq West,186,Manhattan
-74.14115248,40.62545372,Port Richmond,187,Staten Island
-73.94520016,40.65756006,Prospect-Lefferts Gardens,188,Brooklyn
-73.96826963,40.67718249,Prospect Heights,189,Brooklyn
-73.97095007,40.66060757,Prospect Park,190,Brooklyn
-73.74112042,40.7142783,Queens Village,191,Queens
-73.81519254,40.744411,Queensboro Hill,192,Queens
-73.9402863,40.76172443,Queensbridge/Ravenswood,193,Queens
-73.92102903,40.79143296,Randalls Island,194,Manhattan
-74.00954931,40.67546168,Red Hook,195,Brooklyn
-73.86401021,40.72364786,Rego Park,196,Queens
-73.82904356,40.69300047,Richmond Hill,197,Queens
-73.90199375,40.70452153,Ridgewood,198,Queens
-73.8835364,40.79204594,Rikers Island,199,Bronx
-73.90646061,40.89985962,Riverdale/North Riverdale/Fieldston,200,Bronx
-73.84724648,40.57746872,Rockaway Park,201,Queens
-73.95041049,40.76116791,Roosevelt Island,202,Manhattan
-73.73671881,40.65950178,Rosedale,203,Queens
-74.20697295,40.54074269,Rossville/Woodrow,204,Staten Island
-73.76261566,40.69221897,Saint Albans,205,Queens
-74.12316376,40.6359594,Saint George/New Brighton,206,Staten Island
-73.89932502,40.76351135,Saint Michaels Cemetery/Woodside,207,Queens
-73.82488634,40.82468614,Schuylerville/Edgewater Park,208,Bronx
-74.00235972,40.70848969,Seaport,209,Manhattan
-73.94433605,40.59376161,Sheepshead Bay,210,Brooklyn
-74.00137473,40.72389907,SoHo,211,Manhattan
-73.86990193,40.82827699,Soundview/Bruckner,212,Bronx
-73.86079104,40.81649076,Soundview/Castle Hill,213,Bronx
-74.08588545,40.58661907,South Beach/Dongan Hills,214,Staten Island
-73.79036754,40.6941903,South Jamaica,215,Queens
-73.82051327,40.67707123,South Ozone Park,216,Queens
-73.95684577,40.70324961,South Williamsburg,217,Brooklyn
-73.77211628,40.67362003,Springfield Gardens North,218,Queens
-73.76100796,40.6602285,Springfield Gardens South,219,Queens
-73.91187726,40.88190094,Spuyten Duyvil/Kingsbridge,220,Bronx
-74.08133476,40.62022398,Stapleton,221,Staten Island
-73.88213752,40.64687191,Starrett City,222,Brooklyn
-73.90667183,40.77819333,Steinway,223,Queens
-73.97784208,40.73172816,Stuy Town/Peter Cooper Village,224,Manhattan
-73.93144485,40.68878507,Stuyvesant Heights,225,Brooklyn
-73.92932128,40.73527341,Sunnyside,226,Queens
-74.00679455,40.64159764,Sunset Park East,227,Brooklyn
-74.00996047,40.65361821,Sunset Park West,228,Brooklyn
-73.9651742,40.7565893,Sutton Place/Turtle Bay North,229,Manhattan
-73.98417616,40.75984474,Times Sq/Theatre District,230,Manhattan
-74.00671162,40.71869564,TriBeCa/Civic Center,231,Manhattan
-73.9823067,40.71538608,Two Bridges/Seward Park,232,Manhattan
-73.97125598,40.7491721,UN/Turtle Bay South,233,Manhattan
-73.99047762,40.74031346,Union Sq,234,Manhattan
-73.91496833,40.85350293,University Heights/Morris Heights,235,Bronx
-73.95697239,40.78049148,Upper East Side North,236,Manhattan
-73.96569149,40.76854188,Upper East Side South,237,Manhattan
-73.97281452,40.79176625,Upper West Side North,238,Manhattan
-73.97827334,40.78410736,Upper West Side South,239,Manhattan
-73.87906719,40.89474642,Van Cortlandt Park,240,Bronx
-73.89645014,40.87597585,Van Cortlandt Village,241,Bronx
-73.83987896,40.84959658,Van Nest/Morris Park,242,Bronx
-73.93282432,40.85867029,Washington Heights North,243,Manhattan
-73.94166681,40.84121867,Washington Heights South,244,Manhattan
-74.10317061,40.62847848,West Brighton,245,Staten Island
-74.00451257,40.75243725,West Chelsea/Hudson Yards,246,Manhattan
-73.92505918,40.82921147,West Concourse,247,Bronx
-73.87101045,40.8346772,West Farms/Bronx River,248,Bronx
-74.00249691,40.73461156,West Village,249,Manhattan
-73.84947868,40.83249069,Westchester Village/Unionport,250,Bronx
-74.12323684,40.61960552,Westerleigh,251,Staten Island
-73.8153943,40.78836065,Whitestone,252,Queens
-73.84147455,40.76008634,Willets Point,253,Queens
-73.85826965,40.88322333,Williamsbridge/Olinville,254,Bronx
-73.95713378,40.71883419,Williamsburg (North Side),255,Brooklyn
-73.95910788,40.71097713,Williamsburg (South Side),256,Brooklyn
-73.97723931,40.6536645,Windsor Terrace,257,Brooklyn
-73.85663905,40.69012637,Woodhaven,258,Queens
-73.85635112,40.89910277,Woodlawn/Wakefield,259,Bronx
-73.90371328,40.74679779,Woodside,260,Queens
-74.01291938,40.70897562,World Trade Center,261,Manhattan
-73.94582982,40.77653423,Yorkville East,262,Manhattan
-73.95120799,40.77849587,Yorkville West,263,Manhattan
